X,Y,FID,geocode,uploadadd,shmeio
23.7210741908959,37.9857962950654,"30","40",ΣΤ.ΜΕΤΡΟ ΜΕΤΑΞΟΥΡΓΕΙΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6429863381933,37.9479726634287,"31","41",ΣΤ.ΜΕΤΡΟ ΠΕΙΡΑΙΑ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6639233725203,37.9444689125493,"32","42",ΣΤ.ΜΕΤΡΟ Ν.ΦΑΛΗΡΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6801855741087,37.9553161134921,"33","43",ΣΤ.ΜΕΤΡΟ ΜΟΣΧΑΤΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6972050554816,37.9605078658131,"34","44",ΣΤ.ΜΕΤΡΟ ΚΑΛΛΙΘΕΑΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7032911415315,37.9623840309075,"35","45",ΣΤ.ΜΕΤΡΟ ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7089253749935,37.9681928270145,"36","46",ΣΤ.ΜΕΤΡΟ ΚΑΤΩ ΠΕΤΡΑΛΩΝΩΝ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7205280152032,37.9767005168979,"37","47",ΣΤ.ΜΕΤΡΟ ΘΗΣΕΙΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7258658046214,37.9766750250434,"38","48",ΣΤ.ΜΕΤΡΟ ΜΟΝΑΣΤΗΡΑΚΙ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7281232709304,37.9841345552185,"39","49",ΣΤ.ΜΕΤΡΟ ΟΜΟΝΟΙΑΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7302397017398,37.993123219749,"40","50",ΣΤ.ΜΕΤΡΟ ΒΙΚΤΩΡΙΑΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7224333419208,37.998644302135,"41","51",ΣΤ.ΜΕΤΡΟ ΑΤΤΙΚΗΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7277567582945,38.0069389488427,"42","52",ΣΤ.ΜΕΤΡΟ ΑΓ.ΝΙΚΟΛΑΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7288293467437,38.0120980317179,"43","53",ΣΤ.ΜΕΤΡΟ ΚΑΤΩ ΠΑΤΗΣΙΩΝ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7320354339928,38.0205475547035,"44","54",ΣΤ.ΜΕΤΡΟ ΑΓ.ΕΛΕΥΘΕΡΙΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7359772414595,38.0237830132399,"45","55",ΣΤ.ΜΕΤΡΟ ΑΝΩ ΠΑΤΗΣΙΩΝ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7446998828683,38.032720118862,"46","56",ΣΤ.ΜΕΤΡΟ ΠΕΡΙΣΣΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7500215026114,38.0370403903684,"47","57",ΣΤ.ΜΕΤΡΟ ΠΕΥΚΑΚΙΩΝ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7550547631483,38.041553549555,"48","58",ΣΤ.ΜΕΤΡΟ Ν.ΙΩΝΙΑΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7661480585919,38.0462546086531,"49","59",ΣΤ.ΜΕΤΡΟ Ν.ΗΡΑΚΛΕΙΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7827255688451,38.0437346804211,"50","60",ΣΤ.ΜΕΤΡΟ ΕΙΡΗΝΗΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.8051448233908,38.0562931359818,"51","61",ΣΤ.ΜΕΤΡΟ ΑΜΑΡΟΥΣΙΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.8040264208621,38.0657807579823,"52","62",ΣΤ.ΜΕΤΡΟ ΚΑΤ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.808208976825,38.0736024880626,"53","63",ΣΤ.ΜΕΤΡΟ ΚΗΦΙΣΙΑΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7211020386697,37.9919133258218,"54","64",ΣΤ.ΜΕΤΡΟ ΛΑΡΙΣΗΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
