TK,LOCALITY,bandavedailycbu,totaconsumption,totaldays,average_daily_consumption,totalparoxes,YYYYMM
10434,ΟΤΕ,Κλάση Ε,885,62,14.3,2,Jan-23
10434,ΠΕΔΙΟΝ ΑΡΕΩΣ,Κλάση A,167,7249,0.0,254,Jan-23
10434,ΠΕΔΙΟΝ ΑΡΕΩΣ,Κλάση Β,1214,5093,0.2,184,Jan-23
10434,ΠΕΔΙΟΝ ΑΡΕΩΣ,Κλάση Γ,419,627,0.7,24,Jan-23
10434,ΠΕΔΙΟΝ ΑΡΕΩΣ,Κλάση Δ,79,70,1.1,4,Jan-23
10434,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση A,1088,47090,0.0,1653,Jan-23
10434,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Β,9648,40048,0.2,1458,Jan-23
10434,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Γ,2827,4417,0.6,194,Jan-23
10434,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Δ,1499,849,1.8,38,Jan-23
10434,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Ε,456,59,7.7,3,Jan-23
10434,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση A,21,802,0.0,29,Jan-23
10434,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση Β,246,957,0.3,37,Jan-23
10434,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση Γ,133,198,0.7,12,Jan-23
10434,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση Δ,89,58,1.5,2,Jan-23
10435,ΚΕΝΤΡΟ,Κλάση A,65,2968,0.0,107,Jan-23
10435,ΚΕΝΤΡΟ,Κλάση Β,839,3373,0.3,121,Jan-23
10435,ΚΕΝΤΡΟ,Κλάση Γ,324,527,0.6,24,Jan-23
10435,ΚΕΝΤΡΟ,Κλάση Δ,120,62,1.9,2,Jan-23
10435,ΚΕΝΤΡΟ,Κλάση Ε,635,62,10.2,2,Jan-23
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση A,1106,41798,0.0,1490,Jan-23
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Β,10970,45282,0.2,1640,Jan-23
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Γ,3795,5806,0.7,249,Jan-23
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Δ,3543,1912,1.9,78,Jan-23
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Ε,2370,159,14.9,6,Jan-23
10436,ΚΕΝΤΡΟ,Κλάση A,34,1411,0.0,51,Jan-23
10436,ΚΕΝΤΡΟ,Κλάση Β,242,992,0.2,37,Jan-23
10436,ΚΕΝΤΡΟ,Κλάση Γ,131,202,0.7,8,Jan-23
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση A,834,33201,0.0,1196,Jan-23
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Β,7389,30117,0.3,1119,Jan-23
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Γ,2710,4114,0.7,167,Jan-23
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Δ,1957,1063,1.8,44,Jan-23
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Ε,1936,250,7.7,9,Jan-23
10437,ΑΓ. ΠΑΥΛΟΣ,Κλάση A,49,1878,0.0,62,Jan-23
10437,ΑΓ. ΠΑΥΛΟΣ,Κλάση Β,394,1682,0.2,57,Jan-23
10437,ΑΓ. ΠΑΥΛΟΣ,Κλάση Γ,127,191,0.7,7,Jan-23
10437,ΚΕΝΤΡΟ,Κλάση A,471,26415,0.0,929,Jan-23
10437,ΚΕΝΤΡΟ,Κλάση Β,3644,14375,0.3,541,Jan-23
10437,ΚΕΝΤΡΟ,Κλάση Γ,2057,3057,0.7,130,Jan-23
10437,ΚΕΝΤΡΟ,Κλάση Δ,2558,1375,1.9,58,Jan-23
10437,ΚΕΝΤΡΟ,Κλάση Ε,3355,307,10.9,12,Jan-23
