Ημερομηνία,ΟΣΥ,ΣΤΑΣΥ,Γραμμή 1,Γραμμή 2,Γραμμή 3,Αεροδρόμιο,ΤΡΑΜ,ΚΤΕΛ,ΣΥΝΟΛΟ ΟΣΥ ΣΤΑΣΥ,ΣΥΝΟΛΟ ΟΣΥ ΚΤΕΛ,ΓΕΝΙΚΟ ΣΥΝΟΛΟ ΟΣΥ ΚΤΕΛ ΣΤΑΣΥ
20/10/2021,233422,1127975,329709,428875,350025,9470,9896,16409,1361397,249831,1377806
21/10/2021,235409,1140232,333726,433336,351756,9449,11965,16078,1375641,251487,1391719
22/10/2021,235528,1130762,331829,429848,348972,9561,10552,29283,1366290,264811,1395573
23/10/2021,140614,735488,231249,277067,210523,6692,9957,11916,876102,152530,888018
24/10/2021,87872,497320,157894,180458,143919,5756,9293,8529,585192,96401,593721
25/10/2021,227454,1090956,316787,417454,337941,9660,9114,15700,1318410,243154,1334110
26/10/2021,236700,1146859,335781,438026,354097,9286,9669,17014,1383559,253714,1400573
27/10/2021,228315,1139755,334149,437605,347971,9363,10667,18115,1368070,246430,1386185
28/10/2021,70030,489319,157350,177274,141237,5025,8433,7972,559349,78002,567321
29/10/2021,224495,1061971,317645,410115,315412,8885,9914,15986,1286466,240481,1302452
30/10/2021,136401,695510,219818,265453,194324,6445,9470,10525,831911,146926,842436
31/10/2021,84865,498646,160752,180514,145183,5573,6624,6487,583511,91352,589998
1/11/2021,231204,1118459,328436,428311,342616,10106,8990,17716,1349663,248920,1367379
2/11/2021,238877,1115839,326070,430264,341229,9020,9256,15196,1354716,254073,1369912
3/11/2021,241165,1148660,335335,439461,352987,9317,11560,19057,1389825,260222,1408882
4/11/2021,237520,1179610,344487,454348,361014,9085,10676,17128,1417130,254648,1434258
5/11/2021,233858,1175548,346831,448579,359388,9523,11227,16658,1409406,250516,1426064
6/11/2021,136118,733658,229350,281015,206647,6187,10459,12001,869776,148119,881777
7/11/2021,97090,571099,181996,211763,161396,5881,10063,6642,668189,103732,674831
8/11/2021,231848,1087750,321052,414281,334160,9476,8781,14836,1319598,246684,1334434
9/11/2021,235249,1112309,326234,424943,342013,8954,10165,18612,1347558,253861,1366170
10/11/2021,231323,1093053,317838,418331,339520,8739,8625,15839,1324376,247162,1340215
11/11/2021,227867,1112308,325497,425859,341286,8792,10874,16904,1340175,244771,1357079
12/11/2021,230620,1113950,324706,426016,342342,9409,11477,16080,1344570,246700,1360650
13/11/2021,128012,765375,230901,303006,216469,6125,8874,11967,893387,139979,905354
14/11/2021,70729,566103,165076,214687,172822,7097,6421,6519,636832,77248,643351
15/11/2021,217995,1009569,300728,390276,300848,9135,8582,15186,1227564,233181,1242750
16/11/2021,217910,896124,213629,380747,284974,7922,8852,14790,1114034,232700,1128824
17/11/2021,171899,852540,274013,308840,253596,7389,8702,14644,1024439,186543,1039083
18/11/2021,136682,4502,311,65,170,1812,2144,9693,141184,146375,150877
19/11/2021,216655,914873,267551,351898,282151,7701,5572,13674,1131528,230329,1145202
20/11/2021,132404,682245,214232,262141,194248,5574,6050,13048,814649,145452,827697
21/11/2021,85637,493666,158924,181592,140344,5426,7380,6679,579303,92316,585982
22/11/2021,225414,1060063,312330,404358,325380,9198,8797,14385,1285477,239799,1299862
23/11/2021,217054,1053585,306757,405294,324368,8046,9120,15839,1270639,232893,1286478
24/11/2021,216586,1045164,302854,402889,323518,8174,7729,14592,1261750,231178,1276342
25/11/2021,229482,1105296,323270,427698,336393,8372,9563,15999,1334778,245481,1350777
26/11/2021,192140,1034004,299528,405759,311408,8384,8925,14913,1226144,207053,1241057
27/11/2021,130646,687993,211054,269739,193808,5435,7957,9215,818639,139861,827854
28/11/2021,82549,508889,157056,192314,148289,5354,5876,6896,591438,89445,598334
29/11/2021,229022,1044135,302348,407095,317699,8425,8568,15823,1273157,244845,1288980
30/11/2021,229984,1072192,314081,416710,324882,7473,9046,16886,1302176,246870,1319062
1/12/2021,229077,1082918,318045,415555,332346,7809,9163,17465,1311995,246542,1329460
2/12/2021,230718,1087965,319909,418566,331334,7708,10448,17314,1318683,248032,1335997
3/12/2021,220007,1070867,312866,414400,327310,8199,8092,16053,1290874,236060,1306927
4/12/2021,120726,652384,205736,246765,187893,4560,7430,8778,773110,129504,781888
5/12/2021,88119,544232,167307,206781,157196,4997,7951,6721,632351,94840,639072
6/12/2021,206048,998601,303979,370052,305769,8329,10472,14571,1204649,220619,1219220
7/12/2021,209455,1032171,303739,400057,313254,7256,7865,16343,1241626,225798,1257969
8/12/2021,229668,1084112,319404,416111,330832,8139,9626,15419,1313780,245087,1329199
9/12/2021,227832,1093748,320624,423368,332593,7674,9489,17120,1321580,244952,1338700
10/12/2021,213833,1072804,312750,416509,328311,7708,7526,16355,1286637,230188,1302992
11/12/2021,107763,579823,178837,227211,164280,4647,4848,7843,687586,115606,695429
12/12/2021,93727,608054,185203,236576,173416,5315,7544,6462,701781,100189,708243
13/12/2021,221290,1050847,308659,405559,319476,8339,8814,14426,1272137,235716,1286563
14/12/2021,201946,953102,294807,357683,285035,7298,8279,13533,1155048,215479,1168581
15/12/2021,208677,1062941,310020,409128,326811,7578,9404,15312,1271618,223989,1286930
16/12/2021,220537,1112110,321041,434140,339952,7778,9199,16237,1332647,236774,1348884
17/12/2021,213935,1136646,327016,444081,349465,8539,7545,15980,1350581,229915,1366561
18/12/2021,107391,653244,194236,259400,186140,4899,8569,7175,760635,114566,767810
19/12/2021,84970,609051,181472,238082,176479,4989,8029,5827,694021,90797,699848
20/12/2021,228369,1079890,314665,420267,326766,8300,9892,15046,1308259,243415,1323305
21/12/2021,211688,1102210,319281,433227,331352,8013,10337,13321,1313898,225009,1327219
22/12/2021,208164,1100055,319489,431335,330338,8295,10598,15835,1308219,223999,1324054
23/12/2021,196954,1055273,311852,419730,306146,8258,9287,14455,1252227,211409,1266682
24/12/2021,148746,784217,237894,317324,215489,6632,6878,13485,932963,162231,946448
25/12/2021,40471,304835,94268,118184,84298,2856,5229,3753,345306,44224,349059
26/12/2021,42842,422871,128681,165634,116245,4278,8033,4998,465713,47840,470711
27/12/2021,163313,792427,239236,319527,217871,6802,8991,10660,955740,173973,966400
28/12/2021,160028,758824,231749,304823,208057,6241,7954,15508,918852,175536,934360
29/12/2021,163575,759058,230384,304396,209227,6781,8270,11412,922633,174987,934045
30/12/2021,158134,714647,218688,288016,192905,5863,9175,12734,872781,170868,885515
31/12/2021,120133,541890,171515,218860,139668,4587,7260,8891,662023,129024,670914
1/1/2022,36101,227788,77232,86516,57317,2635,4088,3093,263889,39194,266982
2/1/2022,58531,335164,109312,127739,87651,4068,6394,4253,393695,62784,397948
3/1/2022,146577,640445,198614,252269,175235,5938,8389,10496,787022,157073,797518
4/1/2022,159893,687844,212863,271885,189368,5731,7997,12072,847737,171965,859809
5/1/2022,158316,699539,215885,275039,194165,5609,8841,11302,857855,169618,869157
6/1/2022,61075,318688,106098,119294,84389,3269,5638,5716,379763,66791,385479
7/1/2022,156959,700662,216007,277092,194443,5694,7426,10954,857621,167913,868575
8/1/2022,78254,467066,152920,180700,122793,4171,6482,7878,545320,86132,553198
9/1/2022,45323,307961,101660,114903,83755,3860,3783,4405,353284,49728,357689
10/1/2022,172259,833078,244867,323481,250379,6869,7482,11369,1005337,183628,1016706
11/1/2022,175958,842837,249699,326319,253522,5980,7317,13232,1018795,189190,1032027
12/1/2022,163962,818614,238056,316851,250019,6042,7646,10945,982576,174907,993521
13/1/2022,166599,831319,243004,323830,251902,5601,6982,11392,997918,177991,1009310
14/1/2022,177704,876285,255423,342130,264353,6630,7749,12585,1053989,190289,1066574
15/1/2022,109062,570879,179309,223511,157809,3232,7018,7497,679941,116559,687438
16/1/2022,71341,417148,134324,158142,115350,3926,5406,5130,488489,76471,493619
17/1/2022,189998,887505,261925,343188,266927,6903,8562,14919,1077503,204917,1092422
18/1/2022,190456,894315,266180,343008,270261,6139,8727,16845,1084771,207301,1101616
19/1/2022,165606,880547,255830,339958,269637,6283,8839,13195,1046153,178801,1059348
20/1/2022,186655,911692,267149,351775,277286,6490,8992,12895,1098347,199550,1111242
21/1/2022,190207,923018,269683,360270,276957,6845,9263,15144,1113225,205351,1128369
22/1/2022,90769,496273,155790,196646,135021,3533,5283,7266,587042,98035,594308
23/1/2022,54354,317188,101244,117988,90734,3528,3694,4531,371542,58885,376073
24/1/2022,49649,545246,137067,222777,180351,3236,1815,2929,594895,52578,597824
25/1/2022,682,195741,46067,72661,72575,593,3845,6292,196423,6974,202715
26/1/2022,31156,341713,91840,127937,114901,4027,3008,1707,372869,32863,374576
27/1/2022,99104,700475,197652,275887,214406,5561,6969,6062,799579,105166,805641
28/1/2022,134723,826752,237446,326364,249118,6160,7664,10228,961475,144951,971703
29/1/2022,105725,525896,159900,210888,145819,3946,5343,6890,631621,112615,638511
30/1/2022,62639,386706,120995,144295,112409,4080,4927,4510,449345,67149,453855
31/1/2022,198471,940895,272768,366266,284891,7417,9553,13005,1139366,211476,1152371
1/2/2022,189728,922883,267038,359968,280736,6747,8394,13379,1112611,203107,1125990
2/2/2022,170524,871227,249367,339488,267047,6684,8641,13006,1041751,183530,1054757
3/2/2022,187962,928193,268392,361447,282340,6722,9292,12518,1116155,200480,1128673
4/2/2022,193835,982761,285421,382497,298460,7566,8817,15883,1176596,209718,1192479
5/2/2022,122346,642659,200854,248439,180345,4815,8206,10062,765005,132408,775067
6/2/2022,73770,449051,140790,166184,130046,4649,7382,6439,522821,80209,529260
7/2/2022,206104,951541,277449,365613,290455,8336,9688,13911,1157645,220015,1171556
8/2/2022,183533,901589,259154,351106,275712,6769,8848,12672,1085122,196205,1097794
9/2/2022,192822,941790,274022,363466,287802,7189,9311,13619,1134612,206441,1148231
10/2/2022,197685,966212,281161,374169,293645,7227,10010,13005,1163897,210690,1176902
11/2/2022,107320,954732,279845,371490,291035,7818,4544,10059,1062052,117379,1072111
12/2/2022,213922,706033,217350,267319,201340,5264,14760,16547,919955,230469,936502
13/2/2022,69135,416883,129990,153086,122545,4713,6549,5603,486018,74738,491621
14/2/2022,201903,977366,283269,374923,301544,8421,9209,13116,1179269,215019,1192385
15/2/2022,201864,976942,286145,376457,295801,7325,11214,14673,1178806,216537,1193479
16/2/2022,202488,974573,283596,373711,298625,7689,10952,15151,1177061,217639,1192212
17/2/2022,196140,964939,280982,370404,296354,7500,9699,14489,1161079,210629,1175568
18/2/2022,204547,1032509,298803,399234,314607,8342,11523,14804,1237056,219351,1251860
19/2/2022,127106,685737,212138,262452,196289,5251,9607,10741,812843,137847,823584
20/2/2022,77122,455777,144701,166808,131735,5326,7207,5495,532899,82617,538394
21/2/2022,205844,970391,284138,370760,296558,8378,10557,15229,1176235,221073,1191464
22/2/2022,212248,993314,289440,380859,304190,7532,11293,14867,1205562,227115,1220429
23/2/2022,206450,991142,286342,379148,306500,7883,11269,14729,1197592,221179,1212321
24/2/2022,193442,961839,286566,357713,302332,7402,7826,14742,1155281,208184,1170023
25/2/2022,208683,1030893,299851,393914,316675,8674,11779,14910,1239576,223593,1254486
26/2/2022,124139,710985,217456,277942,200363,5470,9754,9676,835124,133815,844800
27/2/2022,69680,419529,130623,155478,123089,5103,5236,17887,489209,87567,507096
28/2/2022,204361,989734,281552,384285,306322,8759,8816,13138,1194095,217499,1207233
1/3/2022,209472,1042629,295793,406497,322895,7997,9447,14870,1252101,224342,1266971
2/3/2022,200338,1007240,288178,389206,312352,8030,9474,14077,1207578,214415,1221655
3/3/2022,214981,1057633,304929,406947,325513,8340,11904,14212,1272614,229193,1286826
4/3/2022,210614,1038175,303206,399111,316579,8849,10430,16630,1248789,227244,1265419
5/3/2022,117594,592385,184915,227817,166256,5419,7978,10188,709979,127782,720167
6/3/2022,73294,444870,139025,165619,128627,5082,6517,4878,518164,78172,523042
7/3/2022,63929,362173,119508,132144,99778,4866,5877,5526,426102,69455,431628
8/3/2022,206860,1043532,299562,405898,319236,8336,10500,13841,1250392,220701,1264233
9/3/2022,201038,1002941,285305,385674,313470,8387,10105,14425,1203979,215463,1218404
10/3/2022,170970,888194,246690,349727,276602,6882,8293,12255,1059164,183225,1071419
11/3/2022,186099,952424,266205,373233,295534,7856,9596,11147,1138523,197246,1149670
12/3/2022,101753,567837,170386,222352,164040,4716,6343,7025,669590,108778,676615
13/3/2022,70874,444891,136898,163361,132692,5310,6630,4888,515765,75762,520653
14/3/2022,206619,1033425,293362,396653,323897,9170,10343,14124,1240044,220743,1254168
15/3/2022,217382,1072011,309311,409911,333285,8307,11197,15366,1289393,232748,1304759
16/3/2022,216415,1063782,305467,404873,332902,8628,11912,16466,1280197,232881,1296663
17/3/2022,215816,934179,268553,359732,294593,8007,3294,16027,1149995,231843,1166022
18/3/2022,201649,1189890,338561,452892,370091,9889,18457,14150,1391539,215799,1405689
19/3/2022,112397,659561,196646,255643,193315,5690,8267,8973,771958,121370,780931
20/3/2022,53905,439481,124326,173685,131239,5425,4806,3805,493386,57710,497191
21/3/2022,194334,965633,275717,373036,303554,8684,4642,13163,1159967,207497,1173130
22/3/2022,199460,1028577,289546,397332,319230,8218,14251,14140,1228037,213600,1242177
23/3/2022,197259,697761,194429,267637,220307,6431,8957,12413,895020,209672,907433
24/3/2022,205999,1403385,400725,544988,427689,10525,19458,15001,1609384,221000,1624385
25/3/2022,59910,550015,167266,201566,167109,5617,8457,7297,609925,67207,617222
26/3/2022,121703,653764,205042,252745,184928,5727,5322,9059,775467,130762,784526
27/3/2022,81258,497721,152725,180281,144129,5993,14593,5646,578979,86904,584625
28/3/2022,210200,1013979,293694,388299,312983,9350,9653,16438,1224179,226638,1240617
29/3/2022,219947,1091879,311767,428298,330814,8821,12179,16457,1311826,236404,1328283
30/3/2022,192251,1094802,310941,419250,343427,8886,12298,16794,1287053,209045,1303847
31/3/2022,221914,1070530,306754,412288,333158,8600,9730,16280,1292444,238194,1308724
1/4/2022,219641,1128821,320553,438172,349019,9245,11832,16420,1348462,236061,1364882
2/4/2022,134383,747512,227971,286676,215619,6608,10638,10963,881895,145346,892858
3/4/2022,86498,551596,170622,202465,162285,6525,9699,7622,638094,94120,645716
4/4/2022,224314,1074863,308770,411720,332508,9819,12046,16439,1299177,240753,1315616
5/4/2022,231259,1124294,322522,433144,347130,9473,12025,15713,1355553,246972,1371266
6/4/2022,80040,433,195,61,50,107,20,8198,80473,88238,88671
7/4/2022,227436,1151936,329390,443632,357647,9491,11776,14651,1379372,242087,1394023
8/4/2022,228510,1162095,332352,449242,357175,9692,13634,15617,1390605,244127,1406222
9/4/2022,138617,782405,237486,304278,223128,6708,10805,11705,921022,150322,932727
10/4/2022,86994,565030,175265,210763,162967,6303,9732,6929,652024,93923,658953
11/4/2022,225736,1104195,320760,422227,339128,9757,12323,17360,1329931,243096,1347291
12/4/2022,234383,1150722,331146,442204,354119,9977,13276,17449,1385105,251832,1402554
13/4/2022,230926,1035227,298706,400618,321848,9115,4940,17117,1266153,248043,1283270
14/4/2022,231013,1178642,335142,452740,359239,10030,21491,17307,1409655,248320,1426962
15/4/2022,227113,1183151,340937,456635,360318,10569,14692,16699,1410264,243812,1426963
16/4/2022,137013,791784,240671,308462,223197,7291,12163,11978,928797,148991,940775
17/4/2022,76568,489818,149796,191802,135026,5904,7290,6115,566386,82683,572501
18/4/2022,193884,971601,279457,382045,289807,9524,10768,12043,1165485,205927,1177528
19/4/2022,202411,993381,288102,392031,292111,9518,11619,15276,1195792,217687,1211068
20/4/2022,201992,974781,289421,379548,284280,9232,12300,13657,1176773,215649,1190430
21/4/2022,178734,818999,253929,321449,225360,8198,10063,15216,997733,193950,1012949
22/4/2022,103829,483663,159834,187330,122712,6129,7658,7617,587492,111446,595109
23/4/2022,76646,371486,125077,141300,91410,5328,8371,6775,448132,83421,454907
24/4/2022,34666,225236,79214,82064,54896,4497,4565,4835,259902,39501,264737
25/4/2022,54130,324094,110921,118933,82584,5118,6538,4084,378224,58214,382308
26/4/2022,146330,752907,234191,292418,207178,8148,10972,9303,899237,155633,908540
27/4/2022,180927,870924,262348,339951,249186,8602,10837,15402,1051851,196329,1067253
28/4/2022,186363,919778,273088,359411,265972,8627,12680,14166,1106141,200529,1120307
29/4/2022,190800,924406,273802,364747,266562,9156,10139,15373,1115206,206173,1130579
30/4/2022,121546,641459,206884,245319,172395,6702,10159,10050,763005,131596,773055
1/5/2022,52555,2449,617,42,58,377,1355,4229,55004,56784,59233
2/5/2022,59417,356209,119228,130454,97047,5150,4330,4568,415626,63985,420194
3/5/2022,222038,1099759,318761,427662,333010,9982,10344,14090,1321797,236128,1335887
4/5/2022,226780,1115415,322356,428369,340861,9966,13863,16848,1342195,243628,1359043
5/5/2022,230933,1148127,331591,442548,350706,10147,13135,16365,1379060,247298,1395425
6/5/2022,224629,1156528,331289,450158,353237,10539,11305,15477,1381157,240106,1396634
7/5/2022,137617,767160,235264,296696,215551,7515,12134,11951,904777,149568,916728
8/5/2022,97186,592942,188941,223931,163884,6936,9250,7233,690128,104419,697361
9/5/2022,227363,1112471,319469,429054,340015,10516,13417,17965,1339834,245328,1357799
10/5/2022,231582,937462,272710,359336,286641,8708,10067,16032,1169044,247614,1185076
11/5/2022,234593,1161198,334898,444384,357972,10363,13581,16914,1395791,251507,1412705
12/5/2022,230451,1176348,333844,456434,363371,10263,12436,15734,1406799,246185,1422533
13/5/2022,229682,1183358,339465,455651,363456,10688,14098,16630,1413040,246312,1429670
14/5/2022,137102,765122,233858,295997,217302,7529,10436,12177,902224,149279,914401
15/5/2022,88785,552014,174012,203515,156588,6998,10901,7177,640799,95962,647976
16/5/2022,227526,1107390,316388,426243,341239,10275,13245,17037,1334916,244563,1351953
17/5/2022,235057,1145990,330263,441765,349845,10530,13587,17992,1381047,253049,1399039
18/5/2022,226968,867752,251172,332876,272575,8820,2309,20116,1094720,247084,1114836
19/5/2022,223612,1325079,372882,513771,404350,11043,23033,15381,1548691,238993,1564072
20/5/2022,232320,1152335,326362,446891,354782,10486,13814,17594,1384655,249914,1402249
21/5/2022,133900,737838,224251,285451,210428,7292,10416,10027,871738,143927,881765
22/5/2022,88862,537657,167041,198533,153386,7209,11488,7134,626519,95996,633653
23/5/2022,228884,1098067,314114,420718,339339,10623,13273,14907,1326951,243791,1341858
24/5/2022,231755,1135846,321820,439365,350272,10564,13825,31044,1367601,262799,1398645
25/5/2022,233313,1118809,316613,430748,346670,10277,14501,16676,1352122,249989,1368798
26/5/2022,231339,1140698,324242,440781,350851,10469,14355,17717,1372037,249056,1389754
27/5/2022,226554,1149813,325337,445720,353113,10809,14834,26769,1376367,253323,1403136
28/5/2022,135237,728239,221108,283746,204207,7426,11752,16937,863476,152174,880413
29/5/2022,83083,551513,166710,210319,156888,7548,10048,7158,634596,90241,641754
30/5/2022,236621,1107255,315530,429828,339100,11145,11652,16422,1343876,253043,1360298
31/5/2022,238147,1141652,332286,439961,344996,10797,13612,17157,1379799,255304,1396956
1/6/2022,237533,1144081,332997,436640,348388,10671,15385,18148,1381614,255681,1399762
2/6/2022,235811,1153615,326508,449893,351967,10638,14609,16872,1389426,252683,1406298
3/6/2022,228282,1132847,326603,440256,345257,10924,9807,17499,1361129,245781,1378628
4/6/2022,134204,728279,222696,285461,200253,7262,12607,13919,862483,148123,876402
5/6/2022,84918,512857,159810,191234,140659,7179,13975,7896,597775,92814,605671
6/6/2022,224116,1079407,308182,417418,329349,10790,13668,15728,1303523,239844,1319251
7/6/2022,232443,1117188,318737,432723,340543,10704,14481,14629,1349631,247072,1364260
8/6/2022,233339,1115267,318183,431376,341976,11181,12551,18037,1348606,251376,1366643
9/6/2022,232850,1130127,322924,436892,344660,10950,14701,19946,1362977,252796,1382923
10/6/2022,217190,1080910,312624,419726,328182,10664,9714,17249,1298100,234439,1315349
11/6/2022,119786,617757,196626,238626,164829,6805,10871,11562,737543,131348,749105
12/6/2022,81516,470072,150399,172242,129084,6499,11848,6735,551588,88251,558323
13/6/2022,129484,627365,203930,242240,163159,7838,10198,10326,756849,139810,767175
14/6/2022,227363,1089544,317216,421237,326758,10795,13538,13979,1316907,241342,1330886
15/6/2022,220769,1086277,313238,415399,333308,10491,13841,16661,1307046,237430,1323707
16/6/2022,229261,1124232,322761,435264,339154,10927,16126,18810,1353493,248071,1372303
17/6/2022,224108,1114689,323267,435858,332098,10690,12776,18532,1338797,242640,1357329
18/6/2022,134471,760222,227345,307127,207085,7757,10908,15511,894693,149982,910204
19/6/2022,87576,512399,160577,193198,138611,6913,13100,8954,599975,96530,608929
20/6/2022,226406,1086516,311281,419883,330098,10919,14335,16600,1312922,243006,1329522
21/6/2022,229494,1104999,315821,431725,331839,10927,14687,16976,1334493,246470,1351469
22/6/2022,220192,1071637,304187,417419,324447,10757,14827,15435,1291829,235627,1307264
23/6/2022,206813,1049707,296505,412556,316454,10232,13960,16985,1256520,223798,1273505
24/6/2022,211266,1076689,307544,427795,319242,10593,11515,17133,1287955,228399,1305088
25/6/2022,128504,673212,214098,261290,180791,7166,9867,12207,801716,140711,813923
26/6/2022,82919,481353,150969,180277,128142,6610,15355,9297,564272,92216,573569
27/6/2022,216577,1039107,297943,409089,308933,10583,12559,15605,1255684,232182,1271289
28/6/2022,224735,1065942,304562,418326,316957,10299,15798,16904,1290677,241639,1307581
29/6/2022,5422,1123706,345567,415607,332040,12738,17754,13262,1129128,18684,1142390
30/6/2022,226602,1095134,311720,428817,328055,10611,15931,15619,1321736,242221,1337355
1/7/2022,210672,1067499,307609,419475,318479,10397,11539,17782,1278171,228454,1295953
2/7/2022,125102,655291,207388,254214,174797,7279,11613,11499,780393,136601,791892
3/7/2022,79516,468005,149685,178904,120855,6730,11831,8843,547521,88359,556364
4/7/2022,211123,1027482,296135,402379,302721,10632,15615,14571,1238605,225694,1253176
5/7/2022,210231,1041568,298064,409175,308076,10657,15596,16493,1251799,226724,1268292
6/7/2022,205632,1044247,308731,403061,309600,10523,12332,15445,1249879,221077,1265324
7/7/2022,205434,1038432,299365,405239,307993,10105,15730,16490,1243866,221924,1260356
8/7/2022,198581,1016339,291984,402585,299518,10278,11974,16068,1214920,214649,1230988
9/7/2022,116372,614005,193913,239788,161503,7157,11644,10554,730377,126926,740931
10/7/2022,75421,467315,150733,174723,125082,6638,10139,7558,542736,82979,550294
11/7/2022,212707,975778,286363,385357,287115,10574,6369,14865,1188485,227572,1203350
12/7/2022,205617,1022440,292464,400706,296658,10738,21874,15704,1228057,221321,1243761
13/7/2022,203609,1007351,290008,394764,297681,10642,14256,17780,1210960,221389,1228740
14/7/2022,200977,1018874,293049,402476,298449,10519,14381,17111,1219851,218088,1236962
15/7/2022,196012,988686,288381,393138,285144,10854,11169,15480,1184698,211492,1200178
16/7/2022,121021,651129,216130,250380,164065,7432,13122,10814,772150,131835,782964
17/7/2022,78670,487570,156172,187436,122338,7044,14580,8304,566240,86974,574544
18/7/2022,189217,932523,270815,368405,269535,10519,13249,14792,1121740,204009,1136532
19/7/2022,196224,967804,279292,382602,281022,10664,14224,16252,1164028,212476,1180280
20/7/2022,190057,938217,272779,373169,269547,9343,13379,12547,1128274,202604,1140821
21/7/2022,191017,957967,278845,379258,276011,9855,13998,14464,1148984,205481,1163448
22/7/2022,182860,922574,267254,367206,267182,9827,11105,16341,1105434,199201,1121775
23/7/2022,113095,576243,182600,226628,147481,7374,12160,11980,689338,125075,701318
24/7/2022,66756,401149,127017,152868,102332,6876,12056,7241,467905,73997,475146
25/7/2022,169974,840533,245163,333447,239409,9920,12594,15324,1010507,185298,1025831
26/7/2022,177733,883057,254261,353292,251484,10025,13995,15783,1060790,193516,1076573
27/7/2022,178698,882985,256926,351353,251771,10272,12663,16662,1061683,195360,1078345
28/7/2022,179766,891370,253932,357596,255763,9718,14361,15437,1071136,195203,1086573
29/7/2022,181859,856523,239864,350086,247072,9958,9543,16100,1038382,197959,1054482
30/7/2022,109238,550054,178552,218851,134456,7282,10913,11697,659292,120935,670989
31/7/2022,72077,394688,127269,152058,95168,7004,13189,8096,466765,80173,474861
1/8/2022,163809,779040,236462,312732,208183,9701,11962,13844,942849,177653,956693
2/8/2022,170513,799861,240316,322100,215404,9567,12474,15003,970374,185516,985377
3/8/2022,168826,785112,236183,315778,211859,9721,11571,14033,953938,182859,967971
4/8/2022,164786,779574,237616,310371,208767,9402,13418,14019,944360,178805,958379
5/8/2022,159397,750751,230424,302679,199251,9119,9278,14963,910148,174360,925111
6/8/2022,103957,503948,167218,198236,120316,6807,11371,11711,607905,115668,619616
7/8/2022,70038,374695,123206,140891,91026,6561,13011,7373,444733,77411,452106
8/8/2022,142642,665802,202177,264622,178739,8820,11444,11337,808444,153979,819781
9/8/2022,131667,678981,209713,267651,181224,8920,11473,14225,810648,145892,824873
10/8/2022,153795,656676,198818,259399,176469,8848,13142,13159,810471,166954,823630
11/8/2022,140011,641760,198018,253926,169598,8461,11757,12802,781771,152813,794573
12/8/2022,133175,636569,194180,257338,167291,8592,9168,12995,769744,146170,782739
13/8/2022,87836,416173,138906,162394,100126,6536,8211,10015,504009,97851,514024
14/8/2022,60295,322789,107177,119349,78326,6372,11565,7352,383084,67647,390436
15/8/2022,50768,288997,98054,106943,68249,6171,9580,5973,339765,56741,345738
16/8/2022,114063,529679,165271,210600,135812,8280,9716,10071,643742,124134,653813
17/8/2022,117093,547592,169653,216840,142676,8438,9985,11452,664685,128545,676137
18/8/2022,118670,550585,170724,217268,144111,8156,10326,12264,669255,130934,681519
19/8/2022,112538,542286,169039,214570,143360,7964,7353,11384,654824,123922,666208
20/8/2022,84714,419547,134982,163421,104576,6583,9985,9039,504261,93753,513300
21/8/2022,62726,353881,114151,131134,90806,6736,11054,6652,416607,69378,423259
22/8/2022,135086,634266,190627,250823,175007,8334,9475,9578,769352,144664,778930
23/8/2022,132700,625826,185376,248307,173914,8732,9497,11488,758526,144188,770014
24/8/2022,126234,642994,191236,255549,179592,8593,8024,10616,769228,136850,779844
25/8/2022,133780,681810,206039,268747,189512,8500,9012,10622,815590,144402,826212
26/8/2022,145147,714176,213460,284237,200423,9035,7021,10455,859323,155602,869778
27/8/2022,102612,518226,169463,200763,130091,7212,10697,10295,620838,112907,631133
28/8/2022,73270,414667,137301,155849,103600,6873,11044,7123,487937,80393,495060
29/8/2022,171144,831227,242888,332031,235040,9578,11690,11783,1002371,182927,1014154
30/8/2022,179141,870039,254268,345832,248464,9680,11795,13837,1049180,192978,1063017
31/8/2022,175918,864826,247824,345003,249808,9370,12821,14896,1040744,190814,1055640
1/9/2022,191628,934844,270168,369203,272766,9875,12832,15897,1126472,207525,1142369
2/9/2022,187517,932090,271490,368250,271560,10045,10745,14794,1119607,202311,1134401
3/9/2022,116280,622106,196122,243737,164189,7495,10563,10924,738386,127204,749310
4/9/2022,77802,473862,148357,180615,125219,7014,12657,6780,551664,84582,558444
5/9/2022,203417,986555,285507,385092,293276,10546,12134,13629,1189972,217046,1203601
6/9/2022,212251,1044150,298878,410371,311128,10552,13221,15136,1256401,227387,1271537
7/9/2022,213704,1044234,298967,407124,311980,10688,15475,14955,1257938,228659,1272893
8/9/2022,215047,1096897,330295,421443,319900,10689,14570,14668,1311944,229715,1326612
9/9/2022,211276,1057589,303535,416029,314431,11006,12588,15198,1268865,226474,1284063
10/9/2022,127626,682693,210749,266328,186432,7889,11295,12668,810319,140294,822987
11/9/2022,84617,497233,153751,186496,136339,7088,13559,7392,581850,92009,589242
12/9/2022,214911,1028738,295694,399813,308902,10989,13340,14588,1243649,229499,1258237
13/9/2022,227748,1076350,306540,416648,327212,10992,14958,17805,1304098,245553,1321903
14/9/2022,222717,1078792,305236,418953,329420,11159,14024,16956,1301509,239673,1318465
15/9/2022,226777,1104828,317070,428370,332981,11141,15266,16003,1331605,242780,1347608
16/9/2022,224145,1102611,315336,432520,332037,11001,11717,15486,1326756,239631,1342242
